,Unnamed: 0,clip_title,labeler,class
0,66,ByronBay_slice0.mp4,Alex,0
1,136,French_flashmob_circle_slice165.mp4,Alex,0
2,189,French_flashmob_circle_slice65.mp4,Alex,0
3,232,HShackeysack_slice255.mp4,Alex,0
4,248,HShackeysack_slice330.mp4,Alex,0
5,258,HShackeysack_slice375.mp4,Alex,0
6,318,NV_111.mp4,Alex,99
7,329,NV_121.mp4,Alex,99
8,337,NV_129.mp4,Alex,99
9,344,NV_135.mp4,Alex,99
10,370,NV_159.mp4,Alex,99
11,398,NV_184.mp4,Alex,99
12,419,NV_202.mp4,Alex,99
13,420,NV_203.mp4,Alex,99
14,453,NV_233.mp4,Alex,99
15,490,NV_267.mp4,Alex,99
16,510,NV_285.mp4,Alex,99
17,597,NV_363.mp4,Alex,99
18,604,NV_37.mp4,Alex,99
19,647,NV_408.mp4,Alex,99
20,665,NV_424.mp4,Alex,99
21,737,NV_49.mp4,Alex,99
22,792,NV_539.mp4,Alex,99
23,793,NV_54.mp4,Alex,99
24,869,NV_608.mp4,Alex,99
25,880,NV_618.mp4,Alex,99
26,897,NV_633.mp4,Alex,99
27,973,NV_701.mp4,Alex,99
28,1003,NV_729.mp4,Alex,99
29,1017,NV_741.mp4,Alex,99
30,1025,NV_749.mp4,Alex,99
31,1026,NV_75.mp4,Alex,99
32,1051,NV_772.mp4,Alex,99
33,1054,NV_775.mp4,Alex,99
34,1057,NV_778.mp4,Alex,99
35,1071,NV_790.mp4,Alex,99
36,1097,NV_813.mp4,Alex,99
37,1122,NV_836.mp4,Alex,99
38,1131,NV_844.mp4,Alex,99
39,1154,NV_865.mp4,Alex,99
40,1181,NV_89.mp4,Alex,99
41,1210,NV_915.mp4,Alex,99
42,1220,NV_924.mp4,Alex,99
43,1240,NV_942.mp4,Alex,99
44,1253,NV_954.mp4,Alex,99
45,1294,NV_991.mp4,Alex,99
46,1305,PutHandsUp_slice100.mp4,Alex,99
47,1308,PutHandsUp_slice115.mp4,Alex,99
48,1326,PutHandsUp_slice50.mp4,Alex,99
49,1331,PutHandsUp_slice75.mp4,Alex,99
50,1348,SouthAmericanDrumline_slice15.mp4,Alex,99
51,1381,US_NC_asheville_drum_circle_slice135.mp4,Alex,99
52,1396,US_NC_asheville_drum_circle_slice200.mp4,Alex,99
53,1402,US_NC_asheville_drum_circle_slice230.mp4,Alex,99
54,1418,US_NC_asheville_drum_circle_slice300.mp4,Alex,99
55,1490,US_NC_asheville_drum_circle_slice625.mp4,Alex,99
56,1555,V_100.mp4,Alex,99
57,1562,V_106.mp4,Alex,99
58,1575,V_118.mp4,Alex,99
59,1594,V_135.mp4,Alex,99
60,1608,V_148.mp4,Alex,99
61,1630,V_168.mp4,Alex,99
62,1670,V_203.mp4,Alex,99
63,1671,V_204.mp4,Alex,99
64,1698,V_229.mp4,Alex,99
65,1726,V_254.mp4,Alex,99
66,1842,V_359.mp4,Alex,99
67,1847,V_363.mp4,Alex,99
68,1864,V_379.mp4,Alex,99
69,1972,V_476.mp4,Alex,99
70,1980,V_483.mp4,Alex,99
71,1984,V_487.mp4,Alex,99
72,2006,V_506.mp4,Alex,99
73,2019,V_518.mp4,Alex,99
74,2030,V_528.mp4,Alex,99
75,2033,V_530.mp4,Alex,99
76,2052,V_548.mp4,Alex,99
77,2165,V_65.mp4,Alex,99
78,2168,V_652.mp4,Alex,99
79,2175,V_659.mp4,Alex,99
80,2191,V_673.mp4,Alex,99
81,2240,V_717.mp4,Alex,99
82,2248,V_724.mp4,Alex,99
83,2285,V_758.mp4,Alex,99
84,2304,V_775.mp4,Alex,99
85,2326,V_795.mp4,Alex,99
86,2340,V_807.mp4,Alex,99
87,2357,V_822.mp4,Alex,99
88,2364,V_829.mp4,Alex,99
89,2367,V_831.mp4,Alex,99
90,2372,V_836.mp4,Alex,99
91,2377,V_840.mp4,Alex,99
92,2379,V_842.mp4,Alex,99
93,2436,V_894.mp4,Alex,99
94,2438,V_896.mp4,Alex,99
95,2445,V_901.mp4,Alex,99
96,2451,V_907.mp4,Alex,99
97,2455,V_910.mp4,Alex,99
98,2474,V_928.mp4,Alex,99
99,2491,V_943.mp4,Alex,99
100,2520,V_97.mp4,Alex,99
101,2527,V_976.mp4,Alex,99
102,2533,V_981.mp4,Alex,99
103,2561,balcony_football_violence__Football_Hooligans_Leeds_v_Wolves_2005__MorningGlory1997__f66MTrNLPL0.mp4,Alex,99
104,2569,councilman_protesters_argue_slice20.mp4,Alex,99
105,2570,councilman_protesters_argue_slice25.mp4,Alex,99
106,2597,disneyland_fistfight_slice60.mp4,Alex,99
107,2609,downward_strike_punches_slice1020.mp4,Alex,99
108,2614,downward_strike_punches_slice1045.mp4,Alex,99
109,2615,downward_strike_punches_slice105.mp4,Alex,99
110,2643,downward_strike_punches_slice1175.mp4,Alex,99
111,2662,downward_strike_punches_slice1260.mp4,Alex,99
112,2682,downward_strike_punches_slice1350.mp4,Alex,99
113,2713,downward_strike_punches_slice1495.mp4,Alex,99
114,2755,downward_strike_punches_slice20.mp4,Alex,99
115,2765,downward_strike_punches_slice245.mp4,Alex,99
116,2786,downward_strike_punches_slice340.mp4,Alex,99
117,2804,downward_strike_punches_slice420.mp4,Alex,99
118,2822,downward_strike_punches_slice50.mp4,Alex,99
119,2829,downward_strike_punches_slice530.mp4,Alex,99
120,2834,downward_strike_punches_slice550.mp4,Alex,99
121,2857,downward_strike_punches_slice655.mp4,Alex,99
122,2902,downward_strike_punches_slice860.mp4,Alex,99
123,2969,fast_punch_drill_slice165.mp4,Alex,99
124,2995,fast_punch_drill_slice90.mp4,Alex,99
125,2997,female_makeup_artist_client_slice0.mp4,Alex,99
126,3017,female_makeup_artist_client_slice185.mp4,Alex,99
127,3057,football_crowds__Spain_World_Cup_team_receives_hero_s_welcome__timesofearth__Pz3z.mp4,Alex,99
128,3110,football_crowds_cheering__UF_Cheering_style__Playersgod__RaBmHs4MdLo.mp4,Alex,99
129,3146,football_violence__Football_Hooligans_Russia_v_England_News_Report__prestonparasocc.mp4,Alex,99
130,3164,football_violence__football_match_violence__mld0491__WL6AUKgOYSs.mp4,Alex,99
131,3219,groomsmen_dance_slice300.mp4,Alex,99
132,3221,groomsmen_dance_slice310.mp4,Alex,99
133,3226,groomsmen_dance_slice335.mp4,Alex,99
134,3281,heavy_bag_drills_slice155.mp4,Alex,99
135,3288,heavy_bag_drills_slice190.mp4,Alex,99
136,3303,heavy_bag_drills_slice255.mp4,Alex,99
137,3326,heavy_bag_drills_slice360.mp4,Alex,99
138,3354,heavy_bag_drills_slice5.mp4,Alex,99
139,3361,heavy_bag_drills_slice80.mp4,Alex,99
140,3382,hook_punch_power_slice170.mp4,Alex,99
141,3404,hook_punch_power_slice270.mp4,Alex,99
142,3425,hook_punch_power_slice65.mp4,Alex,99
143,3430,hook_punch_power_slice90.mp4,Alex,99
144,3530,how_to_punch_hard_fast_slice40.mp4,Alex,99
145,3544,how_to_strike_max_power_slice10.mp4,Alex,99
146,3601,how_to_strike_max_power_slice355.mp4,Alex,99
147,3612,how_to_strike_max_power_slice405.mp4,Alex,99
